Number;Title;Description;Material
91001;Loctite 243;Threadlocker adhesive for locking nuts and bolts;Anaerobic Adhesive
91002;Loctite 401;General purpose instant adhesive;Bonding Adhesive
91003;Loctite 567;High-temperature thread sealant;Anaerobic Adhesive
91004;Loctite 263;High-strength threadlocker for heavy-duty applications;Anaerobic Adhesive
91005;Epoxy Resin;Two-component epoxy adhesive for bonding and laminating;Epoxy Resin
91006;Cyanoacrylate (Super Glue);Fast-acting instant adhesive for a wide range of materials;Cyanoacrylate
91007;3M Scotch-Weld DP420;Two-part epoxy adhesive for metal, plastic, and composite bonding;Epoxy Resin
91008;3M Scotch-Weld 2216;Flexible epoxy adhesive for aerospace and industrial applications;Epoxy Resin
91009;JB Weld Original;Steel-reinforced epoxy adhesive for strong and durable repairs;Epoxy Resin
91010;Gorilla Glue;Multi-purpose polyurethane adhesive for indoor and outdoor use;Polyurethane
91011;Gorilla Epoxy;Highly resistant epoxy adhesive for various materials;Epoxy Resin
91012;Permatex Clear RTV Silicone;Transparent silicone adhesive and sealant;Silicone
91013;Dow Corning 732 Multi-Purpose Sealant;General-purpose silicone adhesive and sealant;Silicone
91014;Henkel Hysol EA9394;High-performance epoxy adhesive for aerospace applications;Epoxy Resin
91015;3M 5200 Marine Adhesive Sealant;Permanent bonding and sealing adhesive for marine environments;Polyurethane
91016;Loctite PL Premium;High-strength polyurethane adhesive for construction and woodworking;Polyurethane
91017;DAP Weldwood Contact Cement;Neoprene-based contact adhesive for bonding large surfaces;Neoprene
91018;3M Super 77 Multipurpose Adhesive;High-tack adhesive for lightweight materials;Neoprene
91019;Devcon Plastic Welder;Specialized adhesive for bonding plastic materials;Cyanoacrylate
91020;Devcon 5-Minute Epoxy;Quick-setting epoxy adhesive for general repairs;Epoxy Resin
90001;"Aluminum Pipe (1.5"" x 0.125"")";Lightweight and corrosion-resistant pipe;Aluminum Alloy 6061-T6
90002;"Stainless Steel Pipe (2"" x 0.25"")";Corrosion-resistant pipe for various industries;Stainless Steel 304
90003;"Copper Pipe (1"" x 0.125"")";Highly conductive pipe for plumbing and electrical applications;Copper C11000
90004;"PVC Pipe (3"" x 0.375"")";Durable and lightweight pipe for plumbing;PVC (Polyvinyl Chloride)
90005;"HDPE Pipe (2.5"" x 0.25"")";High-density polyethylene pipe for water and gas distribution;HDPE (High-Density Polyethylene)
90006;"Carbon Steel Pipe (2"" x 0.25"")";Strong and versatile pipe for various applications;Carbon Steel
90007;"Brass Pipe (1.25"" x 0.125"")";Durable and corrosion-resistant pipe for plumbing;Brass C36000
90008;"Aluminum Sheet (12"" x 24"" x 0.063"")";Flat aluminum sheet for various applications;Aluminum Alloy 5052-H32
90009;"Stainless Steel Sheet (12"" x 24"" x 0.036"")";Durable stainless steel sheet for diverse applications;Stainless Steel 316
90010;"Copper Sheet (12"" x 12"" x 0.032"")";Thin copper sheet for electrical components;Copper C10100
90011;"Steel Sheet (24"" x 36"" x 0.06"")";Sheet metal for construction and fabrication;Carbon Steel
90012;"Brass Sheet (8"" x 12"" x 0.04"")";Sheet of brass for art and craft projects;Brass C26000
90013;"Aluminum Plate (12"" x 24"" x 0.25"")";Thick aluminum plate for structural and aerospace use;Aluminum Alloy 6061
90014;"Stainless Steel Plate (24"" x 48"" x 0.25"")";Corrosion-resistant plate for heavy-duty applications;Stainless Steel 304
